Rank, Android Package Name, Code Transformation, Runtime Integrity Check, Code Injection Detection, iOS Package Name, Code Transformation, Runtime Integrity Check, Code Injection Detection
10, cmb.pb, SecNeo.A, -, true, com.cmbchina.MPBBank, -, -, - 
12, com.td, DexGuard, -, -, com.tdbank.iphoneapp, -, -, - 
13, com.sovereign.santander, partial detected, -, true, com.sovereign.santander.us.public..Personal-Banking, -, exit, true 
14, com.yitong.mbank.psbc, multiple transformation schemes, exit, true, com.psbc.mobilebank, -, exit, true 
18, com.rbc.mobile.android, partial detected, -, -, com.rbcc.mobile.rlz0, -, -, - 
19, com.ecitic.bank.mobile, Bangcle, alert, true, com.citic.mobile, partial detected, alert, true 
21, com.barclays.android.barclaysmobilebanking, partial detected, -, true, com.barclaycardus.iphonesvc, -, -, true 
22, net.bnpparibas.mescomptes, partial detected, -, -, pl.bgzbnpparibas.gomobile, -, exit, - 
23, com.ubs.swidKXJ.android, partial detected, exit, -, com.ubs.clientMobile, -, -, - 
26, com.pingan.paces.ccms, multiple transformation schemes, -, -, com.pingan.creditcard, partial detected, -, - 
28, com.cib.cibmb, Ijiami, exit, true, com.cib.cibmb, -, exit, - 
29, com.scotiabank.banking, partial detected, -, true, com.scotiabank.ccau.mobile, -, -, - 
30, com.ing.mobile, Verimatrix, alert, true, nl.ing.iphone.app.Bankieren, -, -, - 
31, cn.com.spdb.mobilebank.per, Bangcle, alert, true, com.spdb.retail.bank, -, alert, true 
33, com.mufgbank.cmc, partial detected, -, -, com.unionbank.ccm, -, -, - 
36, jp.co.smbc.direct, partial detected, exit, true, jp.co.smbc.direct, partial detected, alert, - 
38, com.cebbank.mobile.cemb, Bangcle, alert, true, com.cebbank.ebank, -, alert, true 
41, com.scb.breezebanking.hk, partial detected, exit, true, com.sc.breezehk, -, exit, true 
42, com.latuabancaperandroid, partial detected, -, -, com.intesasanpaolo.ibiphone, -, -, - 
45, cn.com.cmbc.newmbank, Bangcle, exit, -, com.cmbc.cn.iphone, partial detected, exit, - 
46, com.rbs.mobile.android.natwest, partial detected, -, -, com.monitise.matm.Monitise-iPhone-NatWest-EN-GB, -, -, - 
47, com.bancomer.mbanking, -, exit, true, com.bancomer.bbva.bancomermovil, -, -, true 
52, fr.creditagricole.androidapp, partial detected, exit, true, fr.creditagricole.monbudget, -, exit, - 
55, com.cm_prod.bad, DexGuard, exit, true, ei.cm.release, partial detected, exit, - 
60, mobi.societegenerale.mobile.lappli, partial detected, -, -, mobi.societegenerale.mobile.lappli, -, -, - 
62, com.db.pwcc.dbmobile, Verimatrix, -, true, com.db.pbc.ng.mobile, -, exit, true 
63, com.kbstar.kbbank, partial detected, -, -, com.kbstar.global, -, exit, true 
65, se.nordea.mobilebank, partial detected, -, -, com.nordea.mobilebank.se, -, exit, - 
67, jp.co.mizuhobank.mizuhoapp, CrackProof, exit, true, jp.co.mizuhobank.mizuhoapp, -, exit, true 
69, cn.jsb.china, Bangcle, alert, true, cn.jsbchina.iphone, partial detected, alert, true 
70, com.hxb.mobile.client, multiple transformation schemes, alert, true, com.hxb.mobile.client, partial detected, exit, true 
78, com.cgbchina.xpt, multiple transformation schemes, -, true, com.gdb.mobilegdb, -, alert, true 
90, com.bankofbeijing.mobilebanking, Ijiami, -, true, 95526.mobi, partial detected, -, true 
93, com.nbbank, Bangcle, -, true, com.nbcb.mobilebank, partial detected, alert, true 
98, com.cic_prod.bad, DexGuard, exit, true ,ei.cic.release, partial detected, -, true 
99, com.bca, DexGuard, -, -, com.bca.bcamobile, -, -, - 
102, no.apps.dnbnor, partial detected, exit,  true, no.dnbnor.toolbox, -, exit, true 
103, cn.com.shbank.mper, Bangcle, -, true, com.BankOfShangHai.1.0, partial detected, exit, true 
104, com.czbank.mbank, Bangcle, exit, true, com.czbank.mbank, partial detected, exit, true 
113, cn.com.njcb.android.mobilebank, Bangcle, exit, true, com.njcb.NJCBMobileBank, partial detected, exit, true 
126, com.danskebank.mobilebank3.dk, partial detected, -, -, com.danskebank.mobilebank3uk, -, -, - 
139, cn.com.hzb.mobilebank.per, multiple transformation schemes, exit, true, com.hzbank.hzbank.per, partial detected, exit, true 
146, com.hsbank.mobilebank, Bangcle, exit, true, cn.com.hsbank.personal.iphone, partial detected, exit, true 
153, com.magicpoint.mobile.bank, multiple transformation schemes, -, true, com.cqrcb.mbank, partial detected, -, - 
165, cn.com.csbank, multiple transformation schemes, -, -, com.bankofchangsha.directBank, -, alert, - 
174, com.srcb.pmbank, multiple transformation schemes, exit, true, com.srcb.pmbankiOSClient, partial detected, exit, true 
185, cn.com.cbhb.mbank.per, multiple transformation schemes, alert, true, com.cbhb.mbank.per, partial detected, alert, true 
207, com.yitong.cd.mbank.android, Ijiami, -, -, com.bocd.BOCDBankPer, -, alert, true 
234, com.gzrcb.mobilebank, Bangcle, -, -, com.961111.mobilebank, partial detected, -, true 
247, com.csii.tianjin.mobilebank, multiple transformation schemes, alert, true, cn.com.bank-of-tianjin.wap.mobilebank, partial detected, alert, true 

